id,average,a_plus,a,a_minus,b_plus,b,b_minus,c_plus,c,c_minus,total_enrolled,course_id,dfw
71017,3.347672391602369,107,229,321,238,190,119,66,41,19,1342,8292.0,12
71018,3.727016129032258,10,63,31,14,10,2,1,0,0,132,8293.0,1
71019,3.636122448979592,3,18,22,11,2,3,1,1,1,62,8294.0,0
71020,3.412,0,16,2,0,6,0,0,0,3,30,8295.0,3
71021,3.755591666666667,33,27,16,14,6,0,0,0,0,96,8296.0,0
71022,3.6469354838709673,5,20,20,9,6,2,1,0,0,63,8297.0,0
71023,3.89,8,46,9,8,3,1,0,0,0,75,8298.0,0
71024,3.581111111111111,3,15,14,6,2,0,0,0,0,43,8299.0,3
71025,,9,42,10,8,4,1,1,0,0,75,8300.0,0
71026,3.798369863613687,25,163,64,27,19,4,1,1,0,311,8301.0,6
71027,3.7925166577426728,53,149,63,25,11,6,0,0,0,315,8302.0,7
71028,3.677641509433962,11,42,28,15,7,3,0,0,0,106,8303.0,0
71029,,0,1,1,4,1,0,0,0,0,7,8304.0,0
71030,,0,0,2,1,0,0,0,0,0,3,8305.0,0
71031,,1,1,2,1,0,0,0,0,0,5,8306.0,0
71032,,0,0,0,0,0,0,0,0,0,1,1875.0,1
71033,3.0510580790318604,33,163,80,50,53,52,35,32,21,605,8307.0,86
71034,3.767232142875,13,299,52,27,32,9,3,8,2,448,8308.0,3
71035,2.552117647058824,3,7,7,11,8,10,7,8,6,85,8309.0,18
71036,3.187291139258228,20,108,47,46,56,28,21,21,10,395,8310.0,38
71037,2.9601702127659575,16,51,29,20,31,15,11,18,12,235,8311.0,32
71038,3.0827598566272387,50,121,62,57,76,51,29,43,15,558,8312.0,54
71039,3.0862053571428567,20,41,32,15,39,23,12,15,15,224,8313.0,12
71040,2.95,5,8,5,3,7,5,1,3,0,44,8314.0,7
71041,,0,0,1,2,0,0,0,0,0,3,8315.0,0
71042,3.288108108108108,27,27,22,16,22,10,3,10,2,148,8316.0,9
71043,3.3936039250669046,18,42,31,7,24,7,6,6,1,153,8317.0,11
71044,,1,4,1,0,3,0,1,2,1,15,1898.0,2
71045,3.159144688874921,12,46,28,31,37,17,20,8,6,215,8318.0,10
71046,3.3623809523809522,4,31,2,8,4,2,0,0,3,58,8319.0,4
71047,3.99015625,0,61,0,2,0,0,0,0,0,64,8321.0,1
71048,3.842795698924731,0,77,3,4,3,5,1,0,0,93,8322.0,0
71049,3.9499999999999997,0,36,0,0,2,0,0,0,0,38,8324.0,0
71050,3.82,0,72,2,0,4,0,0,0,0,79,8325.0,1
71051,3.6281645504917295,12,61,25,19,11,2,3,2,1,137,8326.0,1
71052,3.58,5,23,2,2,3,1,0,0,0,38,8327.0,2
71053,,2,8,2,0,0,0,0,0,0,12,8328.0,0
71054,3.347099236610688,12,50,21,16,15,10,0,1,0,131,8329.0,5
